;Dzien tygodnia;data;nowe przypadki;zgony;ozdrowieńcy;kwarantanna;wojewodztwo;testy
3059;piątek;2021-05-07;528;48.0;697.0;9627;łódzkie;4996.0
3060;piątek;2021-05-07;382;27.0;738.0;11946;małopolskie;4474.0
3061;piątek;2021-05-07;697;63.0;1155.0;23141;mazowieckie;9975.0
3062;piątek;2021-05-07;205;7.0;193.0;3936;opolskie;1611.0
3063;piątek;2021-05-07;154;15.0;229.0;4355;podkarpackie;3202.0
3064;piątek;2021-05-07;128;8.0;158.0;2790;podlaskie;1372.0
3065;piątek;2021-05-07;383;26.0;374.0;8105;pomorskie;3981.0
3066;piątek;2021-05-07;765;73.0;1434.0;17890;śląskie;6875.0
3067;piątek;2021-05-07;124;26.0;234.0;3438;świętokrzyskie;1593.0
3068;piątek;2021-05-07;152;10.0;262.0;3406;warmińsko-mazurskie;2139.0
3069;piątek;2021-05-07;777;42.0;1025.0;15474;wielkopolskie;5680.0
3070;piątek;2021-05-07;317;18.0;472.0;6823;zachodniopomorskie;2900.0
3071;piątek;2021-05-08;4765;421.0;8592.0;136787;cały kraj;63455.0
3072;piątek;2021-05-08;503;42.0;977.0;12699;dolnośląskie;5045.0
3073;piątek;2021-05-08;206;15.0;435.0;6282;kujawsko-pomorskie;2979.0
3074;piątek;2021-05-08;226;11.0;404.0;7054;lubelskie;2948.0
3075;piątek;2021-05-08;110;9.0;173.0;3436;lubuskie;1825.0
3076;piątek;2021-05-08;326;24.0;607.0;9686;łódzkie;4319.0
3077;piątek;2021-05-08;367;19.0;671.0;11077;małopolskie;4742.0
3078;piątek;2021-05-08;583;45.0;1028.0;22958;mazowieckie;9509.0
3079;piątek;2021-05-08;165;8.0;327.0;3817;opolskie;1741.0
3080;piątek;2021-05-08;119;42.0;211.0;4068;podkarpackie;2932.0
3081;piątek;2021-05-08;101;8.0;165.0;2700;podlaskie;1364.0
3082;piątek;2021-05-08;302;28.0;440.0;8227;pomorskie;3668.0
3083;piątek;2021-05-08;712;70.0;1372.0;16683;śląskie;7535.0
3084;piątek;2021-05-08;119;14.0;194.0;3324;świętokrzyskie;1857.0
3085;piątek;2021-05-08;149;9.0;207.0;3340;warmińsko-mazurskie;1927.0
3086;piątek;2021-05-08;500;60.0;916.0;14877;wielkopolskie;4899.0
3087;piątek;2021-05-08;224;17.0;432.0;6543;zachodniopomorskie;2513.0
3088;sobota;2021-05-09;3852;147.0;6687.0;124442;cały kraj;52161.0
3089;sobota;2021-05-09;324;9.0;700.0;11497;dolnośląskie;2940.0
3090;sobota;2021-05-09;194;4.0;293.0;5456;kujawsko-pomorskie;2045.0
3091;sobota;2021-05-09;177;9.0;314.0;6348;lubelskie;2079.0
3092;sobota;2021-05-09;97;1.0;121.0;3069;lubuskie;1249.0
3093;sobota;2021-05-09;297;4.0;493.0;8931;łódzkie;3788.0
3094;sobota;2021-05-09;314;1.0;537.0;10163;małopolskie;4977.0
3095;sobota;2021-05-09;529;13.0;844.0;21553;mazowieckie;8448.0
3096;sobota;2021-05-09;116;3.0;249.0;3565;opolskie;1389.0
3097;sobota;2021-05-09;93;6.0;203.0;3795;podkarpackie;2269.0
3098;sobota;2021-05-09;77;7.0;116.0;2385;podlaskie;948.0
3099;sobota;2021-05-09;217;16.0;357.0;7497;pomorskie;3812.0
3100;sobota;2021-05-09;508;27.0;1002.0;14636;śląskie;5294.0
3101;sobota;2021-05-09;107;5.0;201.0;2944;świętokrzyskie;1412.0
3102;sobota;2021-05-09;62;0.0;148.0;3028;warmińsko-mazurskie;1421.0
3103;sobota;2021-05-09;501;29.0;727.0;13521;wielkopolskie;4131.0
3104;sobota;2021-05-09;192;13.0;359.0;6042;zachodniopomorskie;2112.0
3105;poniedziałek;2021-05-10;2032;22.0;6669.0;114652;cały kraj;36962.0
3106;poniedziałek;2021-05-10;200;0.0;735.0;10392;dolnośląskie;2546.0
3107;poniedziałek;2021-05-10;96;0.0;292.0;5044;kujawsko-pomorskie;1343.0
3108;poniedziałek;2021-05-10;77;0.0;365.0;6052;lubelskie;1466.0
3109;poniedziałek;2021-05-10;46;1.0;152.0;2944;lubuskie;893.0
3110;poniedziałek;2021-05-10;163;1.0;479.0;8332;łódzkie;2309.0
3111;poniedziałek;2021-05-10;135;2.0;514.0;9164;małopolskie;3405.0
3112;poniedziałek;2021-05-10;320;0.0;787.0;20236;mazowieckie;6459.0
3113;poniedziałek;2021-05-10;73;1.0;178.0;3292;opolskie;1048.0
3114;poniedziałek;2021-05-10;54;0.0;169.0;3450;podkarpackie;1623.0
3115;poniedziałek;2021-05-10;48;0.0;79.0;2231;podlaskie;782.0
3116;poniedziałek;2021-05-10;129;2.0;385.0;7127;pomorskie;2746.0
3117;poniedziałek;2021-05-10;241;0.0;1048.0;13148;śląskie;4239.0
3118;poniedziałek;2021-05-10;48;0.0;192.0;2670;świętokrzyskie;951.0
3119;poniedziałek;2021-05-10;41;0.0;169.0;2810;warmińsko-mazurskie;980.0
3120;poniedziałek;2021-05-10;201;15.0;715.0;12291;wielkopolskie;2467.0
3121;poniedziałek;2021-05-10;140;0.0;388.0;5461;zachodniopomorskie;1700.0
3122;wtorek;2021-05-11;3098;319.0;4745.0;117931;cały kraj;62647.0
3123;wtorek;2021-05-11;268;22.0;461.0;10468;dolnośląskie;4429.0
3124;wtorek;2021-05-11;208;28.0;275.0;5108;kujawsko-pomorskie;3479.0
3125;wtorek;2021-05-11;226;11.0;160.0;6211;lubelskie;3674.0
3126;wtorek;2021-05-11;60;6.0;108.0;3042;lubuskie;1726.0
3127;wtorek;2021-05-11;296;32.0;268.0;8726;łódzkie;4914.0
3128;wtorek;2021-05-11;200;44.0;493.0;9194;małopolskie;4612.0
3129;wtorek;2021-05-11;389;19.0;630.0;20995;mazowieckie;9515.0
3130;wtorek;2021-05-11;85;11.0;217.0;3506;opolskie;1678.0
3131;wtorek;2021-05-11;70;17.0;94.0;3489;podkarpackie;3244.0
3132;wtorek;2021-05-11;43;2.0;84.0;2363;podlaskie;1315.0
3133;wtorek;2021-05-11;122;19.0;261.0;7118;pomorskie;3207.0
3134;wtorek;2021-05-11;426;66.0;769.0;13659;śląskie;6858.0
3135;wtorek;2021-05-11;80;14.0;119.0;2718;świętokrzyskie;1685.0
3136;wtorek;2021-05-11;114;5.0;82.0;2959;warmińsko-mazurskie;2256.0
3137;wtorek;2021-05-11;304;15.0;491.0;12680;wielkopolskie;4596.0
3138;wtorek;2021-05-11;174;8.0;221.0;5682;zachodniopomorskie;2737.0
3139;środa;2021-05-12;4255;343.0;2761.0;112961;cały kraj;66234.0
3140;środa;2021-05-12;364;33.0;309.0;10041;dolnośląskie;4655.0
3141;środa;2021-05-12;238;15.0;145.0;4998;kujawsko-pomorskie;3342.0
3142;środa;2021-05-12;240;18.0;101.0;6056;lubelskie;3078.0
3143;środa;2021-05-12;51;9.0;56.0;2802;lubuskie;1634.0
3144;środa;2021-05-12;328;27.0;281.0;8539;łódzkie;4697.0
3145;środa;2021-05-12;308;21.0;239.0;8697;małopolskie;4498.0
3146;środa;2021-05-12;503;49.0;321.0;20542;mazowieckie;10289.0
3147;środa;2021-05-12;125;8.0;88.0;3449;opolskie;1619.0
3148;środa;2021-05-12;105;16.0;70.0;3291;podkarpackie;3051.0
3149;środa;2021-05-12;111;9.0;34.0;2187;podlaskie;1415.0
3150;środa;2021-05-12;271;15.0;170.0;6600;pomorskie;4285.0
3151;środa;2021-05-12;634;60.0;409.0;13012;śląskie;7302.0
3152;środa;2021-05-12;87;7.0;68.0;2641;świętokrzyskie;1688.0
3153;środa;2021-05-12;125;10.0;48.0;2706;warmińsko-mazurskie;2169.0
3154;środa;2021-05-12;523;30.0;275.0;12059;wielkopolskie;5606.0
3155;środa;2021-05-12;204;16.0;135.0;5325;zachodniopomorskie;2923.0
3156;czwartek;2021-05-13;3730;342.0;2685.0;115045;cały kraj;57175.0
3157;czwartek;2021-05-13;378;33.0;260.0;10081;dolnośląskie;4219.0
3158;czwartek;2021-05-13;202;12.0;155.0;4995;kujawsko-pomorskie;2607.0
3159;czwartek;2021-05-13;182;14.0;132.0;6365;lubelskie;2501.0
3160;czwartek;2021-05-13;98;12.0;70.0;2843;lubuskie;1565.0
3161;czwartek;2021-05-13;308;25.0;222.0;8786;łódzkie;4260.0
3162;czwartek;2021-05-13;269;30.0;257.0;8660;małopolskie;3925.0
3163;czwartek;2021-05-13;464;40.0;316.0;21284;mazowieckie;9527.0
3164;czwartek;2021-05-13;176;7.0;90.0;3478;opolskie;1499.0
3165;czwartek;2021-05-13;84;8.0;49.0;3276;podkarpackie;2615.0
3166;czwartek;2021-05-13;76;7.0;36.0;2164;podlaskie;1312.0
3167;czwartek;2021-05-13;227;29.0;154.0;6703;pomorskie;3209.0
3168;czwartek;2021-05-13;492;57.0;418.0;13110;śląskie;6151.0
3169;czwartek;2021-05-13;101;17.0;63.0;2619;świętokrzyskie;1671.0
3170;czwartek;2021-05-13;104;3.0;59.0;2803;warmińsko-mazurskie;1895.0
3171;czwartek;2021-05-13;382;31.0;238.0;12395;wielkopolskie;4709.0
3172;czwartek;2021-05-13;160;17.0;157.0;5424;zachodniopomorskie;2393.0
3173;piątek;2021-05-14;3288;289.0;4839.0;115914;cały kraj;60647.0
3174;piątek;2021-05-14;307;19.0;471.0;10110;dolnośląskie;4617.0
3175;piątek;2021-05-14;169;15.0;247.0;4904;kujawsko-pomorskie;2710.0
3176;piątek;2021-05-14;196;13.0;352.0;6476;lubelskie;3124.0
3177;piątek;2021-05-14;67;8.0;101.0;2801;lubuskie;1625.0
3178;piątek;2021-05-14;241;21.0;418.0;8800;łódzkie;4484.0
3179;piątek;2021-05-14;244;19.0;308.0;8561;małopolskie;4124.0
3180;piątek;2021-05-14;400;42.0;667.0;21936;mazowieckie;8914.0
3181;piątek;2021-05-14;98;8.0;144.0;3606;opolskie;1470.0
3182;piątek;2021-05-14;77;8.0;156.0;3203;podkarpackie;2873.0
3183;piątek;2021-05-14;78;3.0;100.0;2191;podlaskie;1314.0
3184;piątek;2021-05-14;230;8.0;208.0;6948;pomorskie;3271.0
3185;piątek;2021-05-14;432;66.0;684.0;13011;śląskie;6747.0
3186;piątek;2021-05-14;86;12.0;144.0;2571;świętokrzyskie;1557.0
3187;piątek;2021-05-14;92;9.0;119.0;2695;warmińsko-mazurskie;1898.0
3188;piątek;2021-05-14;306;27.0;481.0;12616;wielkopolskie;4757.0
3189;piątek;2021-05-14;215;11.0;225.0;5416;zachodniopomorskie;2721.0
3190;piątek;2021-05-15;2896;298.0;6764.0;115750;cały kraj;57062.0
3191;piątek;2021-05-15;288;21.0;634.0;10174;dolnośląskie;4530.0
3192;piątek;2021-05-15;144;14.0;314.0;4839;kujawsko-pomorskie;2496.0
3193;piątek;2021-05-15;161;14.0;398.0;6555;lubelskie;2689.0
3194;piątek;2021-05-15;85;10.0;130.0;2723;lubuskie;1550.0
3195;piątek;2021-05-15;242;20.0;529.0;8944;łódzkie;3788.0
3196;piątek;2021-05-15;238;19.0;510.0;8367;małopolskie;4605.0
3197;piątek;2021-05-15;381;25.0;813.0;22434;mazowieckie;8766.0
3198;piątek;2021-05-15;117;8.0;188.0;3723;opolskie;1445.0
3199;piątek;2021-05-15;38;16.0;145.0;3055;podkarpackie;2404.0
3200;piątek;2021-05-15;70;2.0;117.0;2189;podlaskie;1346.0
3201;piątek;2021-05-15;191;10.0;375.0;6919;pomorskie;3705.0
3202;piątek;2021-05-15;321;70.0;1084.0;12696;śląskie;5698.0
3203;piątek;2021-05-15;98;13.0;165.0;2516;świętokrzyskie;1491.0
3204;piątek;2021-05-15;73;3.0;174.0;2666;warmińsko-mazurskie;1586.0
3205;piątek;2021-05-15;296;33.0;839.0;12485;wielkopolskie;4278.0
3206;piątek;2021-05-15;127;20.0;324.0;5405;zachodniopomorskie;2616.0
3207;sobota;2021-05-16;2167;55.0;5466.0;107596;cały kraj;48958.0
3208;sobota;2021-05-16;236;4.0;543.0;9119;dolnośląskie;3034.0
3209;sobota;2021-05-16;108;1.0;277.0;4471;kujawsko-pomorskie;1895.0
3210;sobota;2021-05-16;132;3.0;257.0;5819;lubelskie;2272.0
3211;sobota;2021-05-16;58;0.0;150.0;2628;lubuskie;1187.0
3212;sobota;2021-05-16;161;4.0;476.0;8468;łódzkie;3111.0
3213;sobota;2021-05-16;147;0.0;381.0;7733;małopolskie;4551.0
3214;sobota;2021-05-16;270;8.0;678.0;22013;mazowieckie;7376.0
3215;sobota;2021-05-16;67;0.0;190.0;3399;opolskie;1333.0
3216;sobota;2021-05-16;65;5.0;108.0;2792;podkarpackie;2133.0
3217;sobota;2021-05-16;60;5.0;114.0;1953;podlaskie;1087.0
3218;sobota;2021-05-16;158;2.0;297.0;6322;pomorskie;3534.0
3219;sobota;2021-05-16;270;2.0;759.0;11370;śląskie;4617.0
3220;sobota;2021-05-16;40;7.0;144.0;2349;świętokrzyskie;1291.0
3221;sobota;2021-05-16;31;0.0;141.0;2498;warmińsko-mazurskie;1229.0
3222;sobota;2021-05-16;255;8.0;644.0;11603;wielkopolskie;3668.0
3223;sobota;2021-05-16;73;6.0;277.0;5008;zachodniopomorskie;1890.0
3224;poniedziałek;2021-05-17;1109;11.0;4835.0;100096;cały kraj;33095.0
3225;poniedziałek;2021-05-17;113;0.0;454.0;8487;dolnośląskie;2187.0
3226;poniedziałek;2021-05-17;59;0.0;226.0;4004;kujawsko-pomorskie;1261.0
3227;poniedziałek;2021-05-17;37;0.0;227.0;5303;lubelskie;1058.0
3228;poniedziałek;2021-05-17;19;0.0;112.0;2411;lubuskie;802.0
3229;poniedziałek;2021-05-17;66;0.0;368.0;8145;łódzkie;1785.0
3230;poniedziałek;2021-05-17;91;3.0;328.0;7076;małopolskie;3359.0
3231;poniedziałek;2021-05-17;145;0.0;662.0;21031;mazowieckie;6103.0
3232;poniedziałek;2021-05-17;45;0.0;152.0;3187;opolskie;1122.0
3233;poniedziałek;2021-05-17;39;0.0;145.0;2504;podkarpackie;1598.0
3234;poniedziałek;2021-05-17;27;0.0;104.0;1803;podlaskie;610.0
3235;poniedziałek;2021-05-17;98;0.0;311.0;5986;pomorskie;2467.0
3236;poniedziałek;2021-05-17;128;1.0;732.0;10256;śląskie;3167.0
3237;poniedziałek;2021-05-17;37;6.0;120.0;2128;świętokrzyskie;905.0
3238;poniedziałek;2021-05-17;20;0.0;151.0;2300;warmińsko-mazurskie;749.0
3239;poniedziałek;2021-05-17;103;1.0;501.0;10765;wielkopolskie;2197.0
3240;poniedziałek;2021-05-17;66;0.0;222.0;4660;zachodniopomorskie;1430.0
3241;wtorek;2021-05-18;1734;245.0;3927.0;101013;cały kraj;59703.0
3242;wtorek;2021-05-18;149;30.0;394.0;8639;dolnośląskie;4017.0
3243;wtorek;2021-05-18;99;15.0;205.0;4042;kujawsko-pomorskie;2926.0
3244;wtorek;2021-05-18;127;9.0;196.0;5374;lubelskie;2811.0
3245;wtorek;2021-05-18;29;2.0;96.0;2343;lubuskie;1592.0
3246;wtorek;2021-05-18;159;18.0;287.0;8184;łódzkie;4691.0
3247;wtorek;2021-05-18;134;27.0;364.0;7135;małopolskie;4968.0
3248;wtorek;2021-05-18;204;16.0;492.0;21062;mazowieckie;9073.0
3249;wtorek;2021-05-18;41;6.0;112.0;3110;opolskie;1545.0
3250;wtorek;2021-05-18;31;4.0;79.0;2546;podkarpackie;2956.0
3251;wtorek;2021-05-18;48;4.0;55.0;1965;podlaskie;1360.0
3252;wtorek;2021-05-18;94;12.0;226.0;5948;pomorskie;3310.0
3253;wtorek;2021-05-18;244;67.0;541.0;10530;śląskie;6384.0
3254;wtorek;2021-05-18;48;15.0;87.0;2197;świętokrzyskie;1461.0
3255;wtorek;2021-05-18;69;1.0;68.0;2359;warmińsko-mazurskie;1989.0
3256;wtorek;2021-05-18;116;10.0;488.0;10888;wielkopolskie;4261.0
3257;wtorek;2021-05-18;125;9.0;219.0;4636;zachodniopomorskie;2977.0
3258;środa;2021-05-19;2344;329.0;2149.0;98191;cały kraj;58528.0
3259;środa;2021-05-19;224;28.0;208.0;8221;dolnośląskie;4362.0
3260;środa;2021-05-19;104;13.0;117.0;3900;kujawsko-pomorskie;2733.0
3261;środa;2021-05-19;136;13.0;79.0;5189;lubelskie;2823.0
3262;środa;2021-05-19;38;15.0;56.0;2270;lubuskie;1458.0
3263;środa;2021-05-19;196;14.0;168.0;8072;łódzkie;4488.0
3264;środa;2021-05-19;182;19.0;139.0;6933;małopolskie;4067.0
3265;środa;2021-05-19;274;22.0;292.0;20615;mazowieckie;8932.0
3266;środa;2021-05-19;77;6.0;77.0;2996;opolskie;1272.0
3267;środa;2021-05-19;41;13.0;50.0;2593;podkarpackie;2918.0
3268;środa;2021-05-19;86;2.0;50.0;2038;podlaskie;1483.0
3269;środa;2021-05-19;113;16.0;132.0;5627;pomorskie;3506.0
3270;środa;2021-05-19;317;94.0;297.0;10191;śląskie;6085.0
3271;środa;2021-05-19;54;14.0;56.0;2194;świętokrzyskie;1551.0
3272;środa;2021-05-19;70;32.0;55.0;2257;warmińsko-mazurskie;1817.0
3273;środa;2021-05-19;281;16.0;230.0;10486;wielkopolskie;5045.0
3274;środa;2021-05-19;137;12.0;137.0;4566;zachodniopomorskie;2787.0
3275;czwartek;2021-05-20;2086;250.0;3424.0;97366;cały kraj;55395.0
3276;czwartek;2021-05-20;206;10.0;272.0;8296;dolnośląskie;4146.0
3277;czwartek;2021-05-20;86;9.0;212.0;3825;kujawsko-pomorskie;2634.0
3278;czwartek;2021-05-20;102;13.0;247.0;5314;lubelskie;2591.0
3279;czwartek;2021-05-20;39;7.0;53.0;2204;lubuskie;1398.0
3280;czwartek;2021-05-20;146;21.0;329.0;7943;łódzkie;4067.0
3281;czwartek;2021-05-20;171;15.0;223.0;6755;małopolskie;4160.0
3282;czwartek;2021-05-20;236;40.0;475.0;20726;mazowieckie;8352.0
3283;czwartek;2021-05-20;73;6.0;88.0;2883;opolskie;1369.0
3284;czwartek;2021-05-20;53;12.0;100.0;2508;podkarpackie;2947.0
3285;czwartek;2021-05-20;68;1.0;52.0;2116;podlaskie;1253.0
3286;czwartek;2021-05-20;138;9.0;150.0;5652;pomorskie;3320.0
3287;czwartek;2021-05-20;238;49.0;493.0;9868;śląskie;5903.0
3288;czwartek;2021-05-20;63;22.0;83.0;2206;świętokrzyskie;1563.0
3289;czwartek;2021-05-20;48;4.0;110.0;2237;warmińsko-mazurskie;1644.0
3290;czwartek;2021-05-20;274;22.0;332.0;10218;wielkopolskie;4605.0
3291;czwartek;2021-05-20;124;10.0;192.0;4577;zachodniopomorskie;2593.0
3292;piątek;2021-05-21;1679;191.0;4323.0;96793;cały kraj;57254.0
3293;piątek;2021-05-21;163;17.0;392.0;8239;dolnośląskie;4188.0
3294;piątek;2021-05-21;81;7.0;206.0;3708;kujawsko-pomorskie;2507.0
3295;piątek;2021-05-21;84;8.0;232.0;5368;lubelskie;2673.0
3296;piątek;2021-05-21;35;11.0;49.0;2191;lubuskie;1454.0
3297;piątek;2021-05-21;135;12.0;339.0;7743;łódzkie;3925.0
3298;piątek;2021-05-21;130;17.0;324.0;6592;małopolskie;4021.0
3299;piątek;2021-05-21;221;19.0;555.0;20464;mazowieckie;9148.0
3300;piątek;2021-05-21;56;2.0;122.0;2976;opolskie;1555.0
3301;piątek;2021-05-21;44;7.0;107.0;2461;podkarpackie;2865.0
3302;piątek;2021-05-21;38;5.0;121.0;2093;podlaskie;1283.0
3303;piątek;2021-05-21;94;11.0;278.0;5604;pomorskie;3450.0
3304;piątek;2021-05-21;200;33.0;633.0;9642;śląskie;6334.0
3305;piątek;2021-05-21;42;11.0;103.0;2159;świętokrzyskie;1339.0
3306;piątek;2021-05-21;44;9.0;118.0;2253;warmińsko-mazurskie;1740.0
3307;piątek;2021-05-21;191;13.0;514.0;10450;wielkopolskie;4310.0
3308;piątek;2021-05-21;92;9.0;214.0;4823;zachodniopomorskie;2483.0
3309;piątek;2021-05-22;1516;191.0;3973.0;94777;cały kraj;58145.0
3310;piątek;2021-05-22;157;15.0;374.0;8238;dolnośląskie;4124.0
3311;piątek;2021-05-22;68;6.0;223.0;3594;kujawsko-pomorskie;2616.0
3312;piątek;2021-05-22;102;10.0;215.0;4937;lubelskie;2749.0
3313;piątek;2021-05-22;29;2.0;117.0;2082;lubuskie;1427.0
3314;piątek;2021-05-22;122;9.0;342.0;7759;łódzkie;4430.0
3315;piątek;2021-05-22;130;9.0;314.0;6498;małopolskie;4533.0
3316;piątek;2021-05-22;187;13.0;450.0;20459;mazowieckie;8940.0
3317;piątek;2021-05-22;49;2.0;199.0;2906;opolskie;1236.0
3318;piątek;2021-05-22;33;14.0;77.0;2337;podkarpackie;2865.0
3319;piątek;2021-05-22;39;4.0;100.0;2053;podlaskie;1306.0
3320;piątek;2021-05-22;81;22.0;220.0;5563;pomorskie;3448.0
3321;piątek;2021-05-22;154;34.0;511.0;9300;śląskie;5706.0
3322;piątek;2021-05-22;35;7.0;101.0;2052;świętokrzyskie;1455.0
3323;piątek;2021-05-22;35;9.0;102.0;2186;warmińsko-mazurskie;1648.0
3324;piątek;2021-05-22;198;25.0;409.0;10059;wielkopolskie;4451.0
3325;piątek;2021-05-22;72;10.0;208.0;4732;zachodniopomorskie;2578.0
3326;sobota;2021-05-23;1075;46.0;3200.0;86700;cały kraj;42231.0
3327;sobota;2021-05-23;74;4.0;338.0;7498;dolnośląskie;2831.0
3328;sobota;2021-05-23;53;1.0;172.0;3172;kujawsko-pomorskie;1847.0
3329;sobota;2021-05-23;50;0.0;176.0;4524;lubelskie;1818.0
3330;sobota;2021-05-23;17;0.0;58.0;1954;lubuskie;895.0
3331;sobota;2021-05-23;95;1.0;249.0;7175;łódzkie;2792.0
3332;sobota;2021-05-23;91;1.0;246.0;6073;małopolskie;3563.0
3333;sobota;2021-05-23;142;6.0;389.0;19188;mazowieckie;6854.0
3334;sobota;2021-05-23;54;1.0;92.0;2573;opolskie;1009.0
3335;sobota;2021-05-23;21;1.0;72.0;2243;podkarpackie;1910.0
3336;sobota;2021-05-23;28;3.0;64.0;1833;podlaskie;939.0
3337;sobota;2021-05-23;84;2.0;221.0;5022;pomorskie;3592.0
3338;sobota;2021-05-23;130;12.0;427.0;8252;śląskie;3918.0
3339;sobota;2021-05-23;33;2.0;97.0;1859;świętokrzyskie;1207.0
3340;sobota;2021-05-23;21;2.0;98.0;1853;warmińsko-mazurskie;989.0
3341;sobota;2021-05-23;116;10.0;291.0;9213;wielkopolskie;3195.0
3342;sobota;2021-05-23;48;0.0;197.0;4251;zachodniopomorskie;1665.0
3343;poniedziałek;2021-05-24;559;17.0;3074.0;79649;cały kraj;33321.0
3344;poniedziałek;2021-05-24;53;1.0;336.0;6709;dolnośląskie;2238.0
3345;poniedziałek;2021-05-24;27;0.0;141.0;2908;kujawsko-pomorskie;1117.0
3346;poniedziałek;2021-05-24;25;0.0;161.0;4189;lubelskie;1132.0
3347;poniedziałek;2021-05-24;9;0.0;93.0;1817;lubuskie;688.0
3348;poniedziałek;2021-05-24;48;0.0;247.0;6683;łódzkie;2134.0
3349;poniedziałek;2021-05-24;47;2.0;237.0;5387;małopolskie;3215.0
3350;poniedziałek;2021-05-24;83;1.0;364.0;17859;mazowieckie;6273.0
3351;poniedziałek;2021-05-24;15;0.0;111.0;2392;opolskie;793.0
3352;poniedziałek;2021-05-24;10;0.0;48.0;2076;podkarpackie;1755.0
3353;poniedziałek;2021-05-24;9;0.0;82.0;1574;podlaskie;626.0
3354;poniedziałek;2021-05-24;29;1.0;207.0;4758;pomorskie;2368.0
3355;poniedziałek;2021-05-24;75;1.0;368.0;7350;śląskie;3862.0
3356;poniedziałek;2021-05-24;15;1.0;100.0;1673;świętokrzyskie;953.0
3357;poniedziałek;2021-05-24;13;2.0;78.0;1740;warmińsko-mazurskie;871.0
3358;poniedziałek;2021-05-24;57;7.0;331.0;8560;wielkopolskie;2193.0
3359;poniedziałek;2021-05-24;34;1.0;153.0;3968;zachodniopomorskie;1390.0
3360;wtorek;2021-05-25;1000;151.0;2257.0;81603;cały kraj;61444.0
3361;wtorek;2021-05-25;89;12.0;239.0;6975;dolnośląskie;4604.0
3362;wtorek;2021-05-25;51;6.0;123.0;3127;kujawsko-pomorskie;3045.0
3363;wtorek;2021-05-25;70;12.0;143.0;4193;lubelskie;2885.0
3364;wtorek;2021-05-25;22;3.0;51.0;1810;lubuskie;1661.0
3365;wtorek;2021-05-25;83;12.0;179.0;6855;łódzkie;4610.0
3366;wtorek;2021-05-25;64;18.0;162.0;5584;małopolskie;4985.0
3367;wtorek;2021-05-25;138;9.0;277.0;17907;mazowieckie;8728.0
3368;wtorek;2021-05-25;27;5.0;86.0;2438;opolskie;1774.0
3369;wtorek;2021-05-25;15;1.0;66.0;2101;podkarpackie;3045.0
3370;wtorek;2021-05-25;22;2.0;60.0;1656;podlaskie;1553.0
3371;wtorek;2021-05-25;31;6.0;168.0;5061;pomorskie;3721.0
3372;wtorek;2021-05-25;121;30.0;290.0;7585;śląskie;6311.0
3373;wtorek;2021-05-25;28;13.0;40.0;1727;świętokrzyskie;1638.0
3374;wtorek;2021-05-25;31;9.0;35.0;1862;warmińsko-mazurskie;1986.0
3375;wtorek;2021-05-25;114;11.0;234.0;8797;wielkopolskie;4635.0
3376;wtorek;2021-05-25;73;2.0;96.0;3895;zachodniopomorskie;3136.0
3377;środa;2021-05-26;1267;209.0;1268.0;77005;cały kraj;57940.0
3378;środa;2021-05-26;122;16.0;127.0;6320;dolnośląskie;4253.0
3379;środa;2021-05-26;53;6.0;71.0;2869;kujawsko-pomorskie;2774.0
3380;środa;2021-05-26;70;7.0;46.0;3822;lubelskie;2745.0
3381;środa;2021-05-26;22;3.0;22.0;1793;lubuskie;1449.0
3382;środa;2021-05-26;92;20.0;95.0;6326;łódzkie;4546.0
3383;środa;2021-05-26;100;26.0;109.0;5325;małopolskie;4156.0
3384;środa;2021-05-26;148;45.0;149.0;17394;mazowieckie;8338.0
3385;środa;2021-05-26;35;5.0;46.0;2297;opolskie;1411.0
3386;środa;2021-05-26;32;8.0;30.0;2000;podkarpackie;2868.0
3387;środa;2021-05-26;40;9.0;32.0;1423;podlaskie;1312.0
3388;środa;2021-05-26;70;1.0;99.0;4930;pomorskie;3839.0
3389;środa;2021-05-26;185;33.0;158.0;7135;śląskie;6252.0
3390;środa;2021-05-26;33;3.0;48.0;1633;świętokrzyskie;1661.0
3391;środa;2021-05-26;33;8.0;25.0;1904;warmińsko-mazurskie;1837.0
3392;środa;2021-05-26;148;12.0;128.0;8126;wielkopolskie;4517.0
3393;środa;2021-05-26;74;7.0;78.0;3689;zachodniopomorskie;2962.0
3394;czwartek;2021-05-27;1230;135.0;2026.0;79008;cały kraj;63914.0
3395;czwartek;2021-05-27;98;19.0;157.0;6328;dolnośląskie;4731.0
3396;czwartek;2021-05-27;55;4.0;121.0;2890;kujawsko-pomorskie;2807.0
3397;czwartek;2021-05-27;100;4.0;152.0;4006;lubelskie;3093.0
3398;czwartek;2021-05-27;35;1.0;32.0;1851;lubuskie;1725.0
3399;czwartek;2021-05-27;106;9.0;180.0;6395;łódzkie;4642.0
3400;czwartek;2021-05-27;85;6.0;149.0;5407;małopolskie;4743.0
3401;czwartek;2021-05-27;152;23.0;265.0;18486;mazowieckie;9847.0
3402;czwartek;2021-05-27;47;3.0;60.0;2279;opolskie;1527.0
3403;czwartek;2021-05-27;25;6.0;46.0;1959;podkarpackie;2918.0
3404;czwartek;2021-05-27;32;2.0;44.0;1465;podlaskie;1427.0
3405;czwartek;2021-05-27;70;6.0;108.0;5188;pomorskie;4043.0
3406;czwartek;2021-05-27;133;16.0;267.0;7163;śląskie;7086.0
